,prix_actuel,prix_min,prix_max,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
CRI,11.5,10.7,11.5,10.986666666666666,6.877323420074352,5.681077134050978,0.36999999999999955,3.0
CRLA,79.0,79.0,89.88,85.52999999999999,-12.10502892745883,5.31470112427555,-5.439999999999991,3.0
CRLO,93.95,93.95,101.5,98.81666666666666,-6.980198019801978,5.609812662917804,-3.525,3.0
CROS,10.7,10.7,10.7,10.7,0.0,,0.0,2.0
CRSU,187.2,187.2,228.2,210.15,-17.96669588080631,5.082674767014533,-20.499999999999993,3.0
CRTO,116.5,116.5,124.74,121.94,-6.48579226200032,4.761778311412683,-4.039999999999996,3.0
CS,39.33,39.33,39.9,39.62,-0.7570022710068237,1.4919058398344938,-0.15000000000000585,3.0
CTAC,3.3,3.3,3.3,3.3,0.0,,0.0,2.0
CTPNV,17.94,17.94,18.68,18.310000000000002,-3.9614561027837176,,0.0,2.0
CV,0.33,0.33,0.33,0.33,0.0,,0.0,2.0
CVC,16.92,16.92,17.52,17.22,-3.4246575342465633,,0.0,2.0
CYAD,0.31,0.301,0.336,0.3156666666666667,2.990033222591365,13.693831490586675,0.004500000000000011,3.0
DBG,5.25,5.25,6.0,5.745333333333334,-12.295355830270628,9.004212227855769,-0.3679999999999997,3.0
DBV,1.544,1.544,1.59,1.5713333333333335,-2.8930817610062918,1.1664081288261505,-0.023000000000000142,3.0
DEC,14.53,14.53,14.9,14.736666666666666,-1.6914749661705006,2.330008386245849,-0.12500000000000164,3.0
DECB,2.075,2.075,2.1,2.0875000000000004,-1.1904761904761862,,0.0,2.0
DEEZR,1.16,1.16,1.18,1.1733333333333331,-1.6949152542372898,1.1984860698077124,-0.010000000000000085,3.0
DEME,127.0,127.0,132.4,129.7,-4.078549848942602,,0.0,2.0
DG,114.3,114.3,117.1,115.68666666666667,-1.1758602801314193,2.5711443664607567,-0.6799999999999988,3.0
